,title,label
117, 5조 실탄 확보 성공한 쿠팡이커머스 시장 지각변동,0
118, 백신 1차 접종 54만여 명우선대상자 70% 마쳐,0
119, 현행 거리두기 2주 더직계가족상견례는 8명까지,0
120, 충주 산란계 농장서 고병원성 AI 의심사례 발생,0
121, 英 브렉시트후 맨첫달 EU상품수출 40%↓성장률도 2.9%,-1
122, 세븐일레븐 달콤한 화이트데이 선물로 고마움을 전하세요,0
123, 송재호 도시가스협회장 디지털 전환 속도내고 에너지 전환 적극 부응,0
124, 원격근무 가장 변혁적인 노동변화,0
125, 文대통령 사저 의혹에 격분그 정도 하시라 좀스럽고 민망하다,-1
126, 김봉진 배달의민족 의장 직원라이더에 1000억원 상당 주식격려금 지급,0
127, 24 대책 설계자 시한부 신세변창흠표 공급대책 차질 불가피,0
128, 공정위 하도급 불공정 의혹 SPC삼립 현장조사,-1
129, 속보 文대통령 사저 의혹에 그 정도 하라 좀스럽고 민망한 일,-1
130, LG holdings unit spinoff named LX Holdings,0
131, 현금 청산 압박에도빌라 경매 낙찰가율 100% 넘었다,0
132, 금호석화 경영권 분쟁에 박철완 상무 장인도 지분 매입고배당 공방,0
133, 기아 코로나19 여파에 지난해 국내외 공장 가동률 75% 그쳐,-1
134, Land minister Byeon resigns as LH scandal builds,0
135, 빙그레 밀크티맛단지 선보여,1
136, 현대판 연좌제 주식 양도세는 위헌헌법소원 제기,0
137, 전기차 충전기 판로확대 벤처기업협회캐스트프로 업무협약,1
138, 취재파일 LH사태 일파만파2.4대책은,0
139, 690점도 턱걸이에 금리 인상까지문턱 더 높아진 카드론,0
140, 시한부 장관 변창흠24 대책 차질없이 추진할 수 있을까종합,0
141, 박범계 전국 고검장 불러 LH 대응방안 논의,0
142, 경찰청 숨진 LH 前본부장 현재 수사대상 아니었다,-1
143, 금리 우려 완화에 외인기관 순매수코스피 이틀째 상승,0
144, 라이프시맨틱스 청약 경쟁률 1천774대 1증거금 2.7조,1
145, 마켓컬리도 미국행쿠팡 SK하이닉스마저 제쳤다,0
146, 큰손 60대 유동성의 힘SK바이오사이언스 공모가 남긴 것은,0
147, 한강의 기적 동참하게된 쿠팡 시총 100조로 美 데뷔과제는,1
148, T맵 이제 데이터 무료 사용 안된다,0
149, 식약처 영상 속 비위생 중국 절임배추는 수출용 아니다,0
150, 묻고 더블로 쩐의 전쟁빅테크게임업계 초봉 킹은,0
151, 현대차그룹 현대오토에버 신임 대표에 서정식 부사장 내정,0
152, 고졸인재일자리콘서트 현장채용기업 소개저스트쿠킹아이비컴퍼니스마트기술진흥협회,0
153, 대우조선도 1.1조 잭팟K조선 올해도 1위 순항,1
154, 광주 중고차 매매단지 차량 절도 외국인 2명 추가 검거,0
155, 포스코 2기 최정우號 출범금호 조카의 난 장인 가세,0
156, 기아 코로나19에 작년 글로벌 공장 가동률 75%2011년 이후 최저,0
157, 소진공 소상공인 공유주방 사업 주관기관 모집,0
158, 당근마켓 분쟁시 정보 제공 논란 가열C2C 업계 혁신 저해,-1
159, 고졸인재일자리콘서트 현장채용기업 소개 비즈 홍대 샤인빔,0
160, 신도시V시티LH 강차장의 신출귀몰 땅 쇼핑,0
161, 금융당국 LH 직원들 불법 대출 여부 살핀다,-1
162, 카카오T 무료 콜 중단우버타다 콜 받으려면 돈 내라,-1
163, 국립종자원 경남지원 불법불량 종자 유통 단속한다,-1
164, 필 마스크 시대 마스크존 케어에 특화한 신박한 아이템 눈길,0
165, LG엔솔 美 배터리 5조 추가 투자공격적 선두 굳히기,0
166, 희망 드립니다소진공 재기 소상공인 응원 명사특강 진행,0
167, 경찰 부동산 투기 의심자 100여명 수사文 명운 걸고 수사하라,-1
168, 쿠팡효과에마켓컬리도 美증시 도전한다,0
169, 변창흠 국토부 장관 결국 사의 표명문 대통령 사실상 수용,0
170, 다이텍연구원경북대 환경친화섬유 연구개발 협약,0
171, 기상이변 사고 줄이자수협중앙회APEC기후센터 업무협약 체결,1
172, 변창흠 국토 문대통령에 사의표명4월초 교체 가닥종합,0
173, 상장 후 41%↑ 쿠팡 월wall가의 큰손 투자자 재조명,1
174, 대구경북섬유산업연합회 회장에 조정문씨 추대,0
175, 농협 AI 피해 조합원 농가에 450억 지원,-1
176, 뉴스까페 거긴 이렇게 허술해LH 땅투기에 금융권 부글,-1
177, 탐앤탐스 벚꽃 시즌 음료 블라썸 모먼트 선보여,1
178, 쿠팡 이어 마켓컬리도 미국 연내 상장 추진,1
179, 시한부 장관 변창흠24 대책 차질없이 추진할 수 있을까,0
180, 신규확진 나흘째 400명대거리두기 2주 재연장,0
181, 영상구성 신규확진 488명거리두기 2주 재연장,0
182, 하겐다즈 아이스크림 마카롱 세트 출시,1
183, 뭘스트리트 위험천만 롤러코스터 장세 내려 버텨 feat.테슬라,0
184, CPTPP 대비하는 농식품부 농업 영향 점검 나서,0
185, LH 투기 대출 뒤진다추가 명단 나오면 모두 대상,0
186, 2021 한국국제승강기엑스포 조직위 출범,0
187, 멜론 카카오에서 분사6월 멜론컴퍼니 출범,0
188, 투기 강력 처벌부당이득 환수...말잔치 급급한 당정,-1
189, 시그널 스마트 물류 내세운 현대무벡스 코스닥 입성,1
190, 화승알앤에이 인적분할해 15일 거래 재개,0
191, 삼보모터스 내연차→친환경 미래차 사업재편 본격 추진,0
192, 비트코인 6600만원 고지도 넘었다최고가 쓴 뒤 소폭 하락,0
193, 공정위 하도급업체 갑질 의혹 SPC삼립 현장조사,-1
194, WTO서 코로나19 백신 지재권 면제 합의 못해4월 재논의,0
195, 비즈 프롬바이오 전라남도농업기술원과 업무협약 체결 外,1
196, CEO풍향계 직원사망 악재 김범석회사에 부담 최신원,-1
197, 금융당국 LH 직원 대출 불법 여부 조사,-1
198, 영등포 해빙기 취약시설 안전점검,0
199, 변창흠 장관 사의에 국토부 술렁...전혀 몰랐다,0
200, 대주주 직계존비속 합산 위헌한투연 헌법소원 제기,0
201, 권칠승 중기부 장관 마켓컬리 美상장 쿨하게 생각해야,1
202, 카카오 음원 사업 분할6월 멜론컴퍼니 설립 추진,0
203, 충북 충주 산란계 농장서 고병원성 AI 의심 신고,0
204, 최정우 포스코 회장 연임 확정미래 시장 집중,0
205, 합수본 투기의혹 16건 100여명 조사중차명거래 밝히는게 관건,-1
206, 그래픽 변창흠 국토부장관 내정부터 사퇴까지,-1
207, 지난 8일간 고병원성 조류독감 7건 확진누적 224건,0
208, 잘나가던 변창흠 투기 못잡고 사실상 낙마24대책은 어디로,0
209, 유통혁신 게임체인저 평가...쿠팡 데뷔 첫날 시총100조 직행,1
210, 충주 산란계 농장서 고병원성 AI 의심10km 내 농장 이동 제한,0
211, 힐스테이트 대명 센트럴 전 주택형 청약 마감,1
212, 공정위 SPC삼립 현장조사거래업체 불공정행위 의혹,-1
213, 홍천군 축제 변화 속도별도 축제조직위 구성,0
214, 표 주요 시세 2월 12일,0
215, 코로나 직격탄에호텔 문 닫고 전시장 텅 비었다,-1
216, 코스피 3054.39 코스닥 925.49,0
217, 가계대출 경고음..대출 더 조인다 경제뷰포인트,-1
218, 경쟁사는 힘껏 뛰는데롯데 이커머스 늪에 빠져 고전,0
219, LH 가짜 농부들 농협 저리대출에 자녀 학자금 한우세트도 챙겨,0
220, 국세청 실시간 소득파악 인프라 구축 본격화,0
221, 공사비 어떻게 썼길래LH 예산낭비 조사 거부,0
222, 카카오 친환경 데이터센터에 4249억 투자,0
223, 韓銀 인플레 우려 적다더니기재부는 물가 급등 경고,0
224, 꽉 닫힌 지갑저축률 3년만에 최고,1
225, 해고 쉽게하자던 野도 친노조법안 발의,0
226, 철원고성 야생조류 고병원성 AI 7건 추가 검출,0
227, 가상자산 거래 유가증권시장 절반 육박운영 투명성 제고 시급 덩치 커진 가상자산거래소운영은 낙제점②,0
228, LH 고위간부 분당서 투신 사망유서 발견4보,0
229, CEO 톡톡 배달의 민족 김봉진 의장의 릴레이 기부 플렉스,0
230, 배하준 오비맥주 대표 1위 이상의 기업이 목표,1
231, CEO 톡톡 안팎으로 부글부글윤석헌 금융감독원장 사면초가,-1
232, 뉴스까페 생보는 소송 손보는 분쟁 늘어편면적 구속력 무산되나,-1
233, 증시 조정 충분염승환 그래도 지금 투자할 때 부터뷰,0
234, 2분기 물가 상승률 높게 나올 것,0
235, 전남경찰 부동산 투기사범 전담 수사팀 가동한다,-1
236, 쿠팡 몸값 100조 껑충삼성 이어 시가총액 2위권,0
237, 구직 단념한 청년에 응원금 20만원 주겠다는 정부,0
238, 중기중앙회중기연구원 중소기업 정책연구회 개최,0
239, DL이앤씨 3000억대 러시아 정유공장 현대화 사업 수주,1
240, 내 차 판매 적기는 봄이나 명절 무료 견적 신청이 대세,1
241, 제일 쌀 때 인수하자 사모펀드 외식 프랜차이즈 저점 인수 붐,0
242, 차명 투기 조사한다지만 토지 환수처벌 사실상 불가능,0
243, 최정우 포스코 회장 연임 성공ESG경영신사업 가속화,0
244, LH 직원들 몰린 지역농협 대출 불법여부 들여다본다,-1
245, 中유튜버 리쯔치에 맞서 BTS 김치 먹방 만들자 김치지킴이의 긴급제안,0
246, 셀프 상장에 수익은 덤...가상자산 거래소 심사 허술 논란 덩치 커진 가상자산거래소운영은 낙제점①,0
247, 공무원 투기의혹 세종 산단 벌집 조사 18일 중간발표,-1
248, 공무원 투기 의혹 세종시 스마트 산단 예정지 가보니,-1
249, 전 LH 본부장 투신LH 신도시 투기 의혹과 관련 없어,-1
250, 수협중앙회APEC기후센터 상호협력 업무협약 체결,1
251, KCA 부산 하리항 일원에서 SOS워치 해상테스트 실시,0
252, 서해에 떠다니는 中원전 안전할까핵잠수함도 있는데,0
253, 구미 스마트그린산단 비전 선포식5G 기반 특화산단 조성,0
254, LH 고위간부 분당서 투신아파트서 추락3보,0
255, 코스피 코스닥 장 마감까지 상승 흐름 유지,0
256, 신규확진 나흘째 400명대거리두기 2주 재연장,0
257, 정책의 뒷썰백설기 데이삼겹살 데이오이 데이의 공통점은,0
258, 강원경찰 전담수사팀 공공기관 부동산투기 집중단속,-1
259, 홍남기 LH 투기 대규모 대출 과정 철저 조사,0
260, 부동산 투기근절재발 방지책 조속히 마련,0
261, LH 땅투기 6년 전에 막을 수 있었다,0
262, SBI저축銀 임진구정진문 대표이사 재선임,0
263, 건강보험공단 청년 인턴 700명 뽑는다,0
264, 푸라닭치킨 2월4주차3월1주차 문래점 外 신규가맹점 오픈,1
265, 배민 김봉진 200억 내놓는다학창시절 父 쓰러져 고생했던 기억에,0
266, 변창흠 국토부장관 文대통령에 사의 표명,0
267, LH 고위간부 분당서 투신아파트서 추락2보,0
268, 권칠승 장관 마켓컬리 미국 상장 쿨하게 생각해야,1
269, 시그널 KB국민은행 포스코 지분 1.8% 전량 매도,0
270, 당진화력 주변 농민 대상 농튜브 교육,1
271, 세계 최대 의결권 자문사 삼성 사외이사 재선임 반대 권고,0
272, 원희룡 제주도지사 제2공항 무한 책임 끝까지 지키겠다,0
273, 마켓뷰 코스피 이틀 연속 1% 상승...3050선 회복,0
274, 기업이 원하는 사외이사 1순위는 판검사 출신장차관 타이틀도 인기,1
275, 하남시 신도시 투기 의혹 관련 전직원 전수조사,-1
276, 국내기술로 제작 자율주행셔틀 위더스국토부 자율주행 임시운행 허가면허 취득,0
277, 엔씨소프트 게임업계 첫 ESG 경영실 신설,0
278, 정몽구 현대차그룹 명예회장 서울아산병원에 50억원 쾌척,0
279, 안전관리 의무불이행 방사선 이용기관 14곳 허가 취소,0
280, 소상공인연합회 거리두기 유감 영업시간 보장해야,0
281, 올댓차이나 중국 증시 상승 마감상하이지수 0.47%↑,1
282, All New Cass repackaged rethought and aged coming soon,0
283, LH투기 분노에농민도 재난지원금 100만원씩 주자는 여당,0
284, 기아 코로나 여파로 작년 공장 가동률 75% 그쳐,-1
285, 미원홀딩스 잉크테크 주식 120억원어치 취득지분율 13.3%,0
286, 시총 100조 쿠팡 미 증시 화려한 데뷔마켓컬리도 상장 추진,1
287, 원안위 안전관리 의무불이행 방사선 이용기관 14곳 허가 취소,0
288, 소상공인연합회 거리두기 단계 연장 유감무이자 정책자금 확대해야,1
289, 이낙연 부산상의에 가덕신공항 조속건설 추진 약속,0
290, 마켓컬리도 연내 뉴욕증시 상장 검토,1
291, LH 주택은 민간에 택지개발은 지방에 넘겨라,0
292, 현대오토에버 신임 대표에 서정식 부사장 내정,0
293, 시그널 수요예측 1691대 1메타버스 강자 자이언트스텝 최고기록 찍고 코스닥 노크,1
294, GS그룹 대기업 1호 CVC 설립 나서나,0
295, 중국 대구발전협의회 신춘 교례회 열려코로나19 끝나면 대구와 적극적인 교류,0
296, Coupang now bigger than Hyundai Motor energizes rivals,0
297, 가정간편식 16% 성장세국내산 원료 활용도 높여야,1
298, 하이트진로 지난해 테라 105% 성장 덕에 맥주 판매 12% 증가,1
299, 현대오토에버 신임 대표에 서정식 부사장 내정,0
300, LH 前본부장 숨진 채 발견유서엔 책임 통감,0
301, 文대통령 부동산 적폐청산 계기로당청 사태수습 총력전,0
302, LH투기 이익 환수 어렵다 법개정 시일 걸려,0
303, LH 본부장 경기 분당에서 투신1보,0
304, 서정식 전무 현대오토에버 부사장으로 승진,0
305, 영천소식 노후경유차 매연저감장치 부착 지원,0
306, 인플레 우려 존재하는 한 채권시장 금리 상승세 이어질 것,0
307, 현대오토에버 신임 대표에 서정식 부사장 내정,0
308, 해수부 13일 전국 10곳서 올해 첫 해기사 정기시험 실시,0
309, 국고채 금리 일제히 상승3년물 연 1.223%,0
310, 대구 물산업클러스터 기업집적단지 이달 말 분양,0
311, LH 투기 의혹 관할 검찰청 부장검사 회의엄정대처,-1
312, 금호석화 경영권 분쟁에 박철완 장인 허경수 코스모 회장도 가세종합,0
313, 고위공직자 40% 농지 소유3월말 농지 투기사태 확산될까 부동산360,0
314, 한올바이오파마 안구건조증 치료제 중국 임상 3상 개시,0
315, 하이엔드 스트리트 캐주얼 브랜드 JCD.C 런칭SS 컬렉션 공개,0
316, 日증시 美금리상승 우려 후퇴에 4일 연속 상승 마감,-1
317, 쾌속 교통특급 인프라 모두 누려라강남4구 역세권 오피스텔 인기 지속,1
318, 코인빗 디파이 붐에 프로젝트 및 옥석가리기 필요성 강조,0
319, 시너지IB투자 노랑풍선에 50억 투자포스트 코로나 대비,0
320, 현대오토에버 대표에 서정식 전무 내정,0
321, Posco chairman approved by shareholders for another term,0
322, 롯데건설 주니어 보드 신설해 MZ세대와 소통 확대,1
323, HDC현대산업개발 우수협력사에 표창패와 상금 전달,1
324, 대구경북섬유산업연합회 차기회장에 조정문 새날테크텍스 대표이사 추대,0
325, 최영무 삼성화재 사장 삼성 금융사 CEO 중 연봉 1위,1
326, SK하이닉스마저 제쳤다쿠팡 뉴욕 데뷔하자마자 시총2위,1
327, 특징주 현대무벡스 상장 첫날 13% 하락 마감,0
328, 오후초대석 김부겸이 말하는 노동시장 유연화재건축 규제 완화기본소득,0
329, 비트코인 6600만원 넘었다돈 풀린다 기대감에 역대 최고가,1
330, 알려줘 경제 집합금지업종으로 지정해달라 무슨 이유일까,0
331, 코스피 1%대 상승쿠팡 관련주 초강세종합,0
332, 한국타이어 대전공장 이웃돕기 성금 1억9천만원 기탁,0
333, 신도시 발표 전 수상한 거래 당국 사실상 방치,1
334, 마감시황코스피 외인 3일 연속 순매수에 1% 넘게 상승,0
335, KT 제39기 정기주총 비대면 전자투표 시스템 운영,0
336, 외인기관 매수세에 코스피 1.35% 상승 마감3050선 회복,1
337, 세계의 백신 공장 인도 50일간 69개국에 5천800만회분 공급종합,0
338, 대전지방국세청 신청사 준공납세서비스 한층 높일 것,0
339, ♥조수애박서원 불화설 정리,0
340, 역대 최고가 찍은 비트코인...6500만원대로 소폭 하락,0
341, 최정우 2기 포스코 출범안전수소 본격 드라이브종합,0
342, 인사국세청,0
343, 강원 농협 등과 함께 폭설피해 인삼농가 조기 복구한다,-1
344, 편의점 미니스톱 2021년 화이트데이 70여종 상품 판매,0
345, 목포 씨엘비베이커리 소비자친화브랜드 부문 수상 품질과 서비스 인정받아,1
346, 대주주 기준 가족합산은 위헌개인투자자단체 헌법소원,0
347, 경북구미스마트그린산단 비전 선포식 열려,0
348, 與 압박에도 국민연금 버텼다자리지킨 포스코 회장의 숙제,0
349, 집중진단 사람 말고 땅과 돈 추적해야 차명투기 얼마나 밝힐까,0
350, 코스피 외인기관 매수에 1.35% 상승3050선 회복종합,1
351, 집중진단 블랙홀 된 LH사태국회 조사특검 합의 불발,0
352, 치유 콘텐츠 듬뿍 2022 보성세계차엑스포 밑그림 나왔다,0
353, 뉴지랩 계열사 대표 대상으로 92억 CB발행,0
354, 대천항∼안면도 도로 개통 대비보령 원산도 관광인프라 확충,0
355, 서울 성수1구역 재건축정비사업 건축심의 통과,0
356, NH투자 외화채권 온라인 중개 시스템 개설,0
357, 영상 쿠팡 100조원 대박에 마켓컬리도 연내 상장 추진,1
358, 투기 발본색원쉽지 않은 부동산 비리 근절,0
359, 원주 혁신기업도시수도권 고속버스 운행 업무협약,0
360, 햄버거 패티용 분쇄포장육 매달 식중독균 검사 의무화,0
361, Woowa Brothers CEO announces plans for first 40 billion won in donations,0
362, 한투연 대주주 기준 가족합산은 위헌헌법소원 제기,0
363, 신한은행  ESG 우수기업에 대출 우대금리 제공한다,1
364, 중소기업 지원정책 혁신을 위한 미래전략자문위원회,0
365, 토지매입 직원 0명국토부 노조 공정한 업무수행 확인,0
366, 아마존 성소수자 정신병으로 규정하는 책 판매 중단,-1
367, 건강 올레길 치과 임플란트 시술 시 잇몸뼈 부족하다면 뼈이식 필요해,0
368, 코스피 오늘도 상승세1%대 올라 3054.37 마감,1
369, 유럽 일부 AZ백신 중단 국내엔 동일백신혈전부작용 사례 없어종합,-1
370, LH토지주택공사 내토지주택공사｜오늘의 정식,0
371, 한투연 대주주 기준 가족합산은 위헌헌법소원 제기,0
372, 마감 코스닥 지수 1.93% 마감 ... 925.49,0
373, 마감 코스피 지수 1.35% 마감 ... 3054.39,0
374, 국민은행 여의도 신관에 AI 체험존 연다,0
375, 정확한 날씨정보로 어선사고 막는다수협APEC기후센터 맞손,0
376, 최정우 포스코 회장 연임 성공안전 우선미래시장 선점,0
377, SK하이닉스 인텔 낸드 사업 인수 美당국 승인,0
378, 혹 떼려다 혹 붙인 LH조사 부실 조바심이 화근이었다,0
379, 비트코인 역대 최고가 경신 후 6천500만원대로 소폭 하락,0
380, 시황코스피 3054.39▲1.35% 코스닥 925.49▲1.93% 원달러 환율 1133.8원▼2.1원 마감,0
381, 코스피 이틀째 상승 마감3050선 회복,0
382, 에이치엘비제약 CB발행액 132억 납입유동성 확보,0
383, 원주 혁신기업도시∼서울 고속버스 운행 대폭 확대,1
384, 토요타하이브리드 타봄 전국 시승회 실시,0
385, 대우조선해양 1조1000억 원 VLCC 10척 수주,1
386, 정부  의약품 성분 조작 바이넥스에 100억 원 넘게 지원,0
387, 제약바이오 줄줄이 IPO 대기 중SK바이오사이언스급 대어는,0
388, 광주전남 수출 3개월 연속 증가세2월 12억3천6백만 달러 흑자,1
389, 충남소식 충남농기원 청년 농업인에게 드론 직파법 교육,0
390, 봄의 불청객 미세먼지 대비할 공기청정기,0
391, 미세먼지황사에 필수품 된 공기청정기,0
392, 봄철 미세먼지 대비할 공기청정기,0
393, 봄의 불청객 미세먼지 대비하세요,0
394, 미세먼지와 황사에 대비할 공기청정기,0
395, 봄철 맞아 진열된 공기청정기,0
396, 필수품이 된 공기청정기,0
397, 봄철 황사 대비할 공기청정기,0
398, 노박래 서천군수 해수부 장관에게 각종 현안 지원 건의,0
399, 수술 가이드라인 나온 손가락 하나 더 많은 다지증,0
400, 농협은행 리스크관리부문 화훼농가 일손돕기 실시,-1
